observation,reference,error
19.0,18.957605985090265,0.04239401490973549
18.25,18.338977159047108,-0.08897715904710779
0.0,3.0366723150494597,-3.0366723150494597
0.0,-1.8990036290556729,1.8990036290556729
0.0,-3.7492854222798604,3.7492854222798604
0.0,-4.450894367599735,4.450894367599735
19.0,4.152211599905261,14.847788400094739
18.5,9.382744648469933,9.117255351530067
0.0,5.847377354020505,-5.847377354020505
0.0,3.423989780704178,-3.423989780704178
0.0,1.718568262960401,-1.718568262960401
0.0,0.4944708965108259,-0.4944708965108259
19.0,4.87170907930172,14.12829092069828
18.25,8.080154388701287,10.169845611298713
0.0,6.123575952306421,-6.123575952306421
0.0,4.559514626653513,-4.559514626653513
0.0,3.297170334122912,-3.297170334122912
0.0,2.270744067034056,-2.270744067034056
19.0,5.30734071896322,13.69265928103678
18.25,7.73162601456225,10.51837398543775
0.0,6.32775884558567,-6.32775884558567
0.0,5.120814046006702,-5.120814046006702
0.0,4.0795833821499645,-4.0795833821499645
0.0,3.1794917356722,-3.1794917356722
19.0,5.663603217647811,13.336396782352189
18.25,7.7439062516589505,10.50609374834105
0.0,6.56366038240245,-6.56366038240245
0.0,5.503873890491562,-5.503873890491562
0.0,4.553313876410444,-4.553313876410444
0.0,3.7025807709263416,-3.7025807709263416
19.0,5.967625487830294,13.032374512169707
18.25,7.911887892878125,10.338112107121875
0.0,6.804317419118744,-6.804317419118744
0.0,5.786541562666682,-5.786541562666682
0.0,4.855711501112707,-4.855711501112707
0.0,4.008902722609184,-4.008902722609184
19.0,6.198852523579319,12.801147476420681
18.0,8.056520349356001,9.943479650643999
0.0,6.959403300672528,-6.959403300672528
0.0,5.942814617777771,-5.942814617777771
0.0,5.007037162716817,-5.007037162716817
0.0,4.1514347623684005,-4.1514347623684005
19.25,6.358087253782869,12.89191274621713
18.0,8.196622208131526,9.803377791868474
0.0,7.08832376787282,-7.08832376787282
0.0,6.059511599985988,-6.059511599985988
0.0,5.111239593032155,-5.111239593032155
0.0,4.243368738896973,-4.243368738896973
19.0,6.399109228917702,12.600890771082298
18.0,8.229852639545875,9.770147360454125
0.0,7.11474789373365,-7.11474789373365
0.0,6.079858892745941,-6.079858892745941
0.0,5.126232943550209,-5.126232943550209
0.0,4.253691425621987,-4.253691425621987
19.0,6.40484450780221,12.59515549219779
18.25,8.270287569160915,9.979712430839085
0.0,7.149135038827789,-7.149135038827789
0.0,6.1087308262227324,-6.1087308262227324
0.0,5.150088505682385,-5.150088505682385
0.0,4.273000064399284,-4.273000064399284
19.25,6.457948147830941,12.79205185216906
18.25,8.315847967549107,9.934152032450893
0.0,7.1884855387031275,-7.1884855387031275
0.0,6.142294554933535,-6.142294554933535
0.0,5.178295656322903,-5.178295656322903
0.0,4.296284461096722,-4.296284461096722
19.25,6.476243886038141,12.77375611396186
18.25,8.329778674030644,9.920221325969356
0.0,7.198950013983716,-7.198950013983716
0.0,6.149662065133074,-6.149662065133074
0.0,5.182924261244088,-5.182924261244088
0.0,4.298517795898059,-4.298517795898059
19.25,6.476235242974463,12.773764757025537
18.25,8.327918935878786,9.922081064121214
0.0,7.195677501711753,-7.195677501711753
0.0,6.145223948389128,-6.145223948389128
0.0,5.177548503628882,-5.177548503628882
0.0,4.292412313962329,-4.292412313962329
19.25,6.469553730057053,12.780446269942946
18.25,8.320849311496104,9.929150688503896
0.0,7.188393598966085,-7.188393598966085
0.0,6.137850324443822,-6.137850324443822
0.0,5.170192840831714,-5.170192840831714
0.0,4.285166233152706,-4.285166233152706
19.25,6.462491652268359,12.787508347731642
18.5,8.35275024480186,10.14724975519814
0.0,7.2173459179326755,-7.2173459179326755
0.0,6.163934085334977,-6.163934085334977
0.0,5.1935131392064875,-5.1935131392064875
0.0,4.305847878138971,-4.305847878138971
19.25,6.480673740410071,12.769326259589928
18.5,8.368583257625374,10.131416742374626
0.0,7.23098871891868,-7.23098871891868
0.0,6.175548590940568,-6.175548590940568
0.0,5.203262516325629,-5.203262516325629
0.0,4.313894235914355,-4.313894235914355
19.25,6.4871746159458,12.7628253840542
18.25,8.334979129099157,9.915020870900843
0.0,7.199392661269887,-7.199392661269887
0.0,6.146060389338176,-6.146060389338176
0.0,5.175939086078593,-5.175939086078593
0.0,4.288755529498616,-4.288755529498616
19.25,6.464207993390716,12.785792006609284
18.25,8.31414699334134,9.93585300665866
0.0,7.180636220822539,-7.180636220822539
0.0,6.129301997429447,-6.129301997429447
0.0,5.161087153012845,-5.161087153012845
0.0,4.275707872943749,-4.275707872943749
19.25,6.452854377945927,12.797145622054073
18.25,8.30437279388496,9.94562720611504
0.0,7.172324251177974,-7.172324251177974
0.0,6.122333851683445,-6.122333851683445
0.0,5.1553452987212705,-5.1553452987212705
0.0,4.271077042262014,-4.271077042262014
19.25,6.449222616572145,12.800777383427855
18.25,8.301632636743715,9.948367363256285
0.0,7.170373317066027,-7.170373317066027
0.0,6.121075278579358,-6.121075278579358
0.0,5.154688226161456,-5.154688226161456
0.0,4.27093686229467,-4.27093686229467
19.25,6.449521095809297,12.800478904190703
18.25,8.302297969541263,9.947702030458737
0.0,7.171340047945257,-7.171340047945257
0.0,6.122284164358497,-6.122284164358497
0.0,5.156086050148871,-5.156086050148871
0.0,4.27247619267619,-4.27247619267619
19.25,6.45116000556375,12.79883999443625
18.25,8.30399973012303,9.94600026987697
0.0,7.173072802844144,-7.173072802844144
0.0,6.124020586417044,-6.124020586417044
0.0,5.1578029962763345,-5.1578029962763345
0.0,4.2741543567979186,-4.2741543567979186
19.0,6.414069196957247,12.585930803042753
