created,temperature,humidity,co,h2s,no2,sgp30_tvoc,sgp30_co2,nh3,pm_mass_1_0,pm_mass_2_5,pm_mass_4_0,pm_mass_10,pm_number_0_5,pm_number_1_0,pm_number_2_5,pm_number_4_0,pm_number_10,led_status
2020-12-08 7:18,24.88043022,17.50567055,4126,105,134,103,400,38.48484802,7.153476238,7.564530849,7.564540863,7.564536095,48.90652466,56.86595917,57.09078979,57.10958481,57.11935043,0
2020-12-08 7:08,24.83753395,17.4557972,3312,111,117,106,400,38.48484802,6.678071499,7.085728645,7.105098248,7.108970165,45.60588837,53.06308746,53.2951088,53.31654358,53.32632065,0
2020-12-08 6:58,24.8053627,17.42151642,3469,117,137,88,400,39.69696808,7.219969273,7.642598152,7.648878574,7.650134563,49.3447876,57.38686371,57.62096024,57.64118576,57.65126419,0
2020-12-08 6:48,24.77050972,17.07781792,3206,101,126,10,400,40.90908813,7.774913311,8.221687317,8.221703529,8.221703529,53.15512085,61.80600739,62.05038834,62.07081223,62.08143616,0
2020-12-08 6:38,24.83485222,17.05418015,3233,105,143,8,400,42.42424393,6.502588272,6.878804207,6.880887032,6.881300449,44.45116425,51.68924332,51.89598846,51.91348648,51.92243576,0
2020-12-08 6:28,24.84825706,17.09477043,3049,96,129,11,400,42.12121582,7.004500866,7.439209938,7.465287685,7.470494747,47.82012558,55.64979935,55.89975357,55.92339325,55.93384171,0
2020-12-08 6:18,24.84825706,17.14946747,3364,106,149,9,400,42.42424393,6.580697536,6.968323231,6.976009846,6.977545261,44.97059631,52.30331421,52.5189209,52.53774643,52.54699707,0
2020-12-08 5:58,24.79463768,17.22933006,3128,124,140,0,400,44.24242401,6.734538078,7.178907871,7.225358009,7.234647751,45.92140198,53.47883224,53.74358368,53.77061462,53.78138351,0
2020-12-08 5:48,24.81340599,17.25115204,3234,119,129,11,400,41.51515198,6.555985928,6.932707787,6.932716846,6.932712078,44.8216362,52.11626053,52.32231522,52.33953857,52.34848785,0
2020-12-08 5:38,24.80000114,17.2371273,3312,111,131,0,400,40.60606003,7.256554127,7.673621655,7.673701763,7.673711777,49.61105347,57.68527985,57.91343689,57.93251419,57.94242096,0
2020-12-08 5:18,24.81072426,17.30898094,2996,120,137,0,400,43.03030396,7.053554535,7.555359364,7.633455753,7.649066448,48.02002716,55.97612381,56.28707123,56.32130432,56.33357239,0
2020-12-08 5:08,24.84825706,17.31511688,3180,118,129,0,400,42.72727585,6.133969307,6.486440659,6.486449242,6.48644495,41.93641281,48.76147461,48.95426178,48.97037506,48.97875214,0
2020-12-08 4:58,24.85630035,17.35416031,2864,120,123,8,400,43.03030396,6.460075855,6.83128643,6.831295013,6.831290722,44.16592026,51.35383224,51.55686951,51.57384109,51.58266068,0
2020-12-08 4:48,24.82949066,17.39643669,3258,120,134,7,400,40.90908813,6.868770123,7.288606167,7.308964729,7.313032627,46.90707016,54.57781219,54.81695938,54.83909607,54.84916306,0
2020-12-08 4:38,24.87238693,17.42912102,3206,129,129,14,400,43.33333588,6.294525146,6.656222343,6.656231403,6.656227112,43.03409195,50.03779984,50.23563385,50.25217056,50.26076508,0
2020-12-08 4:28,24.84825706,17.47607803,3416,127,129,17,400,40.60606003,6.245301247,6.722249985,6.817824841,6.836936474,42.44869614,49.52959824,49.83512115,49.87073517,49.88249588,0
2020-12-08 4:18,24.85630035,17.50574493,3653,122,129,32,400,41.81818008,6.827812195,7.220153332,7.220162868,7.2201581,46.68004227,54.2771225,54.49171829,54.509655,54.51897812,0
2020-12-08 4:08,24.84557724,17.52453232,3048,115,126,28,400,40.30303192,7.120054245,7.620533943,7.694472313,7.709248543,48.48550797,56.50984192,56.81812668,56.85169601,56.86391449,0
2020-12-08 3:58,24.81340599,17.59651756,3337,130,123,45,400,43.63636398,6.859407902,7.253587246,7.253615856,7.253615856,46.89600372,54.52825928,54.74387741,54.76189804,54.77127457,0
2020-12-08 3:48,24.87238693,17.61664963,2942,130,126,45,400,43.63636398,6.566374779,6.943878174,6.944036484,6.944059372,44.89227295,52.1986618,52.40521622,52.4224968,52.43146896,0
2020-12-08 3:38,24.8884716,17.56971741,3862,138,131,50,400,43.9393959,7.178003788,7.59046793,7.590477943,7.590472698,49.07421494,57.06093979,57.28654099,57.30539703,57.31520081,0
2020-12-08 3:28,24.88579178,17.55097198,3652,141,123,36,400,43.9393959,6.12963438,6.497399807,6.509987831,6.51250124,41.87401199,48.71162415,48.9186554,48.93728638,48.94608688,0
2020-12-08 3:08,24.92600632,17.53834534,3178,144,131,51,400,44.24242401,6.625871658,7.014906406,7.021630287,7.0229702,45.28193665,52.66359329,52.87952042,52.89827728,52.90755463,0
2020-12-08 2:58,24.8884716,17.52908707,3021,148,143,41,400,40.60606003,6.595451832,7.074535847,7.155552864,7.17175436,44.88049316,52.3309021,52.63079071,52.66440582,52.67614365,0
2020-12-08 2:38,24.89919662,17.60718918,2995,153,143,32,400,42.42424393,7.093756199,7.50137949,7.501389027,7.501384258,48.4982338,56.39122009,56.61417389,56.63280869,56.64249802,0
2020-12-08 2:28,24.87774849,17.66507721,3415,156,129,51,400,41.51515198,6.491109848,6.932256222,6.987426758,6.998448849,44.23445129,51.53305817,51.80012512,51.82826614,51.83899307,0
2020-12-08 2:18,24.88043022,17.73851776,3073,151,131,65,400,43.9393959,7.764734268,8.244361877,8.271443367,8.276856422,53.01504898,61.69198227,61.96697617,61.99281693,62.00433731,0
2020-12-08 2:08,24.89651489,17.8087883,3704,162,134,75,400,42.72727585,7.391927719,7.851840019,7.88030386,7.885987759,50.46266556,58.72670364,58.99155807,59.01669312,59.02774811,0
2020-12-08 1:58,24.86434364,17.84014511,3336,147,146,74,400,44.24242401,8.393404961,8.979100227,9.062784195,9.079519272,57.16570282,66.62030792,66.97975922,67.01863098,67.03292084,0
2020-12-08 1:48,24.9152813,17.88998985,3177,161,108,77,400,43.03030396,8.822999001,9.446550369,9.540898323,9.559762001,60.07497025,70.02229309,70.40743256,70.44957733,70.46481323,0
2020-12-08 1:38,24.92332458,17.92746925,3912,159,129,82,400,42.72727585,9.111595154,9.696597099,9.746324539,9.75626564,62.16423035,72.37104797,72.71425629,72.7481842,72.76230621,0
